ranking_date,player_name,country_code,points,season_summary
2001-01-01,Martina Hingis,SUI,6044,
2001-01-01,Lindsay Davenport,USA,5021,
2001-01-01,Venus Williams,USA,3694,
2001-01-01,Monica Seles,USA,3255,
2001-01-01,Conchita Martínez,ESP,2752,
2001-01-01,Serena Williams,USA,2306,
2001-01-01,Mary Pierce,FRA,2162,
2001-01-01,Arantxa Sanchez-Vicario,ESP,2131,
2001-01-01,Anna Kournikova,RUS,2098,
2001-01-01,Nathalie Tauziat,FRA,1918,
2001-01-01,Elena Dementieva,RUS,1773,
2001-01-01,Amanda Coetzer,RSA,1752,
2001-01-08,Martina Hingis,SUI,6044,
2001-01-08,Lindsay Davenport,USA,5021,
2001-01-08,Venus Williams,USA,3694,
2001-01-08,Monica Seles,USA,3255,
2001-01-08,Conchita Martínez,ESP,2636,
2001-01-08,Serena Williams,USA,2306,
2001-01-08,Mary Pierce,FRA,2162,
2001-01-08,Anna Kournikova,RUS,2098,
2001-01-08,Arantxa Sanchez-Vicario,ESP,2030,
2001-01-08,Nathalie Tauziat,FRA,1918,
2001-01-08,Elena Dementieva,RUS,1773,
2001-01-08,Amanda Coetzer,RSA,1752,
2001-01-15,Martina Hingis,SUI,6252,
2001-01-15,Lindsay Davenport,USA,4966,
2001-01-15,Venus Williams,USA,3694,
2001-01-15,Monica Seles,USA,3313,
2001-01-15,Conchita Martínez,ESP,2697,
2001-01-15,Serena Williams,USA,2374,
2001-01-15,Mary Pierce,FRA,2158,
2001-01-15,Anna Kournikova,RUS,2020,
2001-01-15,Arantxa Sanchez-Vicario,ESP,1935,
2001-01-15,Nathalie Tauziat,FRA,1918,
2001-01-15,Elena Dementieva,RUS,1812,
2001-01-15,Amanda Coetzer,RSA,1752,
2001-01-29,Martina Hingis,SUI,6248,
2001-01-29,Lindsay Davenport,USA,4468,
2001-01-29,Venus Williams,USA,4094,
2001-01-29,Monica Seles,USA,3521,
2001-01-29,Serena Williams,USA,2454,
2001-01-29,Conchita Martínez,ESP,2404,
2001-01-29,Jennifer Capriati,USA,2274,
2001-01-29,Mary Pierce,FRA,2126,
2001-01-29,Anna Kournikova,RUS,2098,
2001-01-29,Amanda Coetzer,RSA,1914,
2001-01-29,Nathalie Tauziat,FRA,1907,
2001-01-29,Elena Dementieva,RUS,1808,
2001-02-05,Martina Hingis,SUI,6105,
2001-02-05,Lindsay Davenport,USA,4892,
2001-02-05,Venus Williams,USA,4094,
2001-02-05,Monica Seles,USA,3521,
2001-02-05,Serena Williams,USA,2454,
2001-02-05,Conchita Martínez,ESP,2404,
2001-02-05,Jennifer Capriati,USA,2274,
2001-02-05,Anna Kournikova,RUS,2144,
2001-02-05,Mary Pierce,FRA,2125,
2001-02-05,Amanda Coetzer,RSA,1880,
2001-02-05,Nathalie Tauziat,FRA,1869,
2001-02-05,Elena Dementieva,RUS,1808,
2001-02-12,Martina Hingis,SUI,6105,
2001-02-12,Lindsay Davenport,USA,4892,
2001-02-12,Venus Williams,USA,4094,
2001-02-12,Monica Seles,USA,3521,
2001-02-12,Conchita Martínez,ESP,2404,
2001-02-12,Jennifer Capriati,USA,2274,
2001-02-12,Serena Williams,USA,2238,
2001-02-12,Mary Pierce,FRA,2126,
2001-02-12,Anna Kournikova,RUS,2087,
2001-02-12,Amanda Coetzer,RSA,1880,
2001-02-12,Elena Dementieva,RUS,1799,
2001-02-12,Nathalie Tauziat,FRA,1692,
2001-02-19,Martina Hingis,SUI,6134,
2001-02-19,Lindsay Davenport,USA,4892,
2001-02-19,Venus Williams,USA,4207,
2001-02-19,Monica Seles,USA,3521,
2001-02-19,Conchita Martínez,ESP,2404,
2001-02-19,Jennifer Capriati,USA,2274,
2001-02-19,Mary Pierce,FRA,2127,
2001-02-19,Anna Kournikova,RUS,2087,
2001-02-19,Serena Williams,USA,1957,
2001-02-19,Amanda Coetzer,RSA,1880,
2001-02-19,Elena Dementieva,RUS,1849,
2001-02-19,Amélie Mauresmo,FRA,1743,
2001-02-26,Martina Hingis,SUI,6202,
2001-02-26,Lindsay Davenport,USA,4892,
2001-02-26,Venus Williams,USA,4207,
2001-02-26,Monica Seles,USA,3530,
2001-02-26,Jennifer Capriati,USA,2414,
2001-02-26,Conchita Martínez,ESP,2404,
2001-02-26,Mary Pierce,FRA,2185,
2001-02-26,Anna Kournikova,RUS,2087,
2001-02-26,Serena Williams,USA,1957,
2001-02-26,Elena Dementieva,RUS,1849,
2001-02-26,Amanda Coetzer,RSA,1820,
2001-02-26,Nathalie Tauziat,FRA,1811,
2001-03-05,Martina Hingis,SUI,6176,
2001-03-05,Lindsay Davenport,USA,4926,
2001-03-05,Venus Williams,USA,4207,
2001-03-05,Monica Seles,USA,3537,
2001-03-05,Jennifer Capriati,USA,2480,
2001-03-05,Conchita Martínez,ESP,2404,
2001-03-05,Mary Pierce,FRA,2076,
2001-03-05,Amanda Coetzer,RSA,2019,
2001-03-05,Anna Kournikova,RUS,2008,
2001-03-05,Serena Williams,USA,1957,
2001-03-05,Elena Dementieva,RUS,1955,
2001-03-05,Nathalie Tauziat,FRA,1811,
2001-03-19,Martina Hingis,SUI,6013,
2001-03-19,Lindsay Davenport,USA,4558,
2001-03-19,Venus Williams,USA,4381,
2001-03-19,Monica Seles,USA,3425,
2001-03-19,Jennifer Capriati,USA,2480,
2001-03-19,Conchita Martínez,ESP,2341,
2001-03-19,Serena Williams,USA,2275,
2001-03-19,Amanda Coetzer,RSA,2019,
2001-03-19,Anna Kournikova,RUS,2008,
2001-03-19,Mary Pierce,FRA,1862,
2001-03-19,Elena Dementieva,RUS,1845,
2001-03-19,Nathalie Tauziat,FRA,1811,
